Date Administered,* Jurisdiction,COVID-19 Doses Administered
4/8/2021,Carter,42
4/7/2021,Carter,37
4/6/2021,Carter,10
4/5/2021,Carter,5
4/4/2021,Carter,3
4/3/2021,Carter,3
4/2/2021,Carter,9
4/1/2021,Carter,18
3/31/2021,Carter,14
3/30/2021,Carter,17
3/29/2021,Carter,17
3/28/2021,Carter,2
3/27/2021,Carter,6
3/26/2021,Carter,5
3/25/2021,Carter,3
3/24/2021,Carter,18
3/23/2021,Carter,72
3/22/2021,Carter,1
3/20/2021,Carter,5
3/19/2021,Carter,9
3/18/2021,Carter,38
3/17/2021,Carter,7
3/16/2021,Carter,24
3/15/2021,Carter,5
3/14/2021,Carter,1
3/13/2021,Carter,3
3/12/2021,Carter,9
3/11/2021,Carter,18
3/10/2021,Carter,19
3/9/2021,Carter,36
3/8/2021,Carter,6
3/7/2021,Carter,1
3/6/2021,Carter,26
3/5/2021,Carter,11
3/4/2021,Carter,86
3/3/2021,Carter,8
3/2/2021,Carter,8
3/1/2021,Carter,17
2/27/2021,Carter,7
2/26/2021,Carter,9
2/25/2021,Carter,264
2/24/2021,Carter,10
2/23/2021,Carter,81
2/22/2021,Carter,31
2/21/2021,Carter,1
2/20/2021,Carter,4
2/19/2021,Carter,8
2/18/2021,Carter,16
2/17/2021,Carter,2
2/16/2021,Carter,2
2/15/2021,Carter,6
2/14/2021,Carter,2
2/13/2021,Carter,6
2/12/2021,Carter,89
2/11/2021,Carter,4
2/10/2021,Carter,10
2/9/2021,Carter,7
2/8/2021,Carter,9
2/6/2021,Carter,48
2/5/2021,Carter,13
2/4/2021,Carter,89
2/3/2021,Carter,5
2/2/2021,Carter,2
2/1/2021,Carter,26
1/30/2021,Carter,2
1/29/2021,Carter,235
1/28/2021,Carter,81
1/27/2021,Carter,7
1/26/2021,Carter,12
1/25/2021,Carter,19
1/24/2021,Carter,3
1/23/2021,Carter,6
1/22/2021,Carter,69
1/21/2021,Carter,4
1/20/2021,Carter,4
1/19/2021,Carter,7
1/18/2021,Carter,3
1/16/2021,Carter,1
1/15/2021,Carter,5
1/14/2021,Carter,10
1/13/2021,Carter,18
1/12/2021,Carter,1
1/11/2021,Carter,5
1/9/2021,Carter,24
1/8/2021,Carter,5
